Compound,Date,Negative,Neutral,Positive,Screen_Name
0.3291,Sat Dec 02 21:59:04 +0000 2017,0.895,0.0,0.105,BBC
0.0,Sat Dec 02 20:00:05 +0000 2017,1.0,0.0,0.0,BBC
0.6369,Sat Dec 02 19:57:21 +0000 2017,0.811,0.0,0.189,BBC
0.0,Sat Dec 02 19:49:59 +0000 2017,1.0,0.0,0.0,BBC
0.5093,Sat Dec 02 19:48:25 +0000 2017,0.829,0.0,0.171,BBC
0.2023,Sat Dec 02 19:30:03 +0000 2017,0.674,0.131,0.195,BBC
0.5106,Sat Dec 02 18:30:02 +0000 2017,0.471,0.178,0.351,BBC
0.0,Sat Dec 02 18:02:04 +0000 2017,1.0,0.0,0.0,BBC
0.2263,Sat Dec 02 17:30:05 +0000 2017,0.863,0.0,0.137,BBC
-0.2401,Sat Dec 02 16:33:03 +0000 2017,0.897,0.103,0.0,BBC
0.0,Sat Dec 02 16:00:03 +0000 2017,1.0,0.0,0.0,BBC
0.4404,Sat Dec 02 15:05:11 +0000 2017,0.861,0.0,0.139,BBC
-0.5423,Sat Dec 02 15:00:05 +0000 2017,0.72,0.28,0.0,BBC
0.0258,Sat Dec 02 14:53:58 +0000 2017,0.657,0.152,0.19,BBC
0.6952,Sat Dec 02 14:52:52 +0000 2017,0.758,0.0,0.242,BBC
0.0,Sat Dec 02 14:52:22 +0000 2017,1.0,0.0,0.0,BBC
0.7884,Sat Dec 02 14:51:55 +0000 2017,0.782,0.0,0.218,BBC
0.765,Sat Dec 02 14:30:04 +0000 2017,0.708,0.0,0.292,BBC
0.0,Sat Dec 02 13:47:35 +0000 2017,1.0,0.0,0.0,BBC
-0.3818,Sat Dec 02 13:33:03 +0000 2017,0.843,0.157,0.0,BBC
0.6166,Sat Dec 02 15:55:39 +0000 2017,0.825,0.0,0.175,CBS
0.1867,Sat Dec 02 14:30:03 +0000 2017,0.902,0.0,0.098,CBS
0.6996,Sat Dec 02 13:00:07 +0000 2017,0.821,0.0,0.179,CBS
-0.3595,Sat Dec 02 12:00:03 +0000 2017,0.872,0.128,0.0,CBS
0.3612,Fri Dec 01 22:43:05 +0000 2017,0.884,0.0,0.116,CBS
0.4199,Fri Dec 01 22:15:28 +0000 2017,0.866,0.0,0.134,CBS
0.7707,Fri Dec 01 21:00:12 +0000 2017,0.718,0.0,0.282,CBS
0.0,Fri Dec 01 20:17:18 +0000 2017,1.0,0.0,0.0,CBS
0.8221,Fri Dec 01 19:32:18 +0000 2017,0.691,0.0,0.309,CBS
0.0,Fri Dec 01 18:40:34 +0000 2017,1.0,0.0,0.0,CBS
0.0,Fri Dec 01 18:16:37 +0000 2017,1.0,0.0,0.0,CBS
0.0,Fri Dec 01 18:10:11 +0000 2017,1.0,0.0,0.0,CBS
0.6893,Fri Dec 01 14:00:04 +0000 2017,0.749,0.0,0.251,CBS
0.1901,Fri Dec 01 12:00:03 +0000 2017,0.907,0.0,0.093,CBS
0.296,Fri Dec 01 01:31:30 +0000 2017,0.872,0.0,0.128,CBS
0.0,Thu Nov 30 21:10:19 +0000 2017,1.0,0.0,0.0,CBS
0.6115,Thu Nov 30 20:54:39 +0000 2017,0.773,0.0,0.227,CBS
0.0,Thu Nov 30 17:40:02 +0000 2017,1.0,0.0,0.0,CBS
0.6808,Thu Nov 30 17:30:05 +0000 2017,0.752,0.0,0.248,CBS
0.3612,Thu Nov 30 15:00:05 +0000 2017,0.865,0.0,0.135,CBS
0.0,Sun Dec 03 00:21:41 +0000 2017,1.0,0.0,0.0,fox
0.8904,Sat Dec 02 04:47:26 +0000 2017,0.274,0.0,0.726,fox
0.4215,Sat Dec 02 04:46:50 +0000 2017,0.877,0.0,0.123,fox
-0.2481,Sat Dec 02 04:34:43 +0000 2017,0.686,0.177,0.137,fox
0.0,Sat Dec 02 04:33:29 +0000 2017,1.0,0.0,0.0,fox
